Port,Shipping Line,Serial No.,Container Availability,Container Type,Container Price/Month
Pasir Panjang,ESP23,E00050,0,Premium,753
Pasir Panjang,ESP23,E00051,0,Premium,753
Pasir Panjang,ESP23,E00052,1,Standard,630
Pasir Panjang,ESP23,E00053,1,Standard,630
Pasir Panjang,ESP23,E00054,1,Standard,630
Pasir Panjang,ESP23,E00055,1,Premium,753
Pasir Panjang,ESP23,E00056,0,Standard,630
Pasir Panjang,ESP23,E00057,0,Premium,753
Pasir Panjang,ESP23,E00058,1,Premium,753
Pasir Panjang,ESP23,E00059,1,Standard,630
Pasir Panjang,ESP23,E00060,1,Premium,753
Pasir Panjang,ESP23,E00061,1,Premium,753
Pasir Panjang,ESP23,E00062,0,Standard,630
Pasir Panjang,ESP23,E00063,1,Standard,630
Pasir Panjang,ESP23,E00064,0,Standard,630
Pasir Panjang,ESP23,E00065,0,Standard,630
Pasir Panjang,ESP23,E00066,0,Standard,630
Pasir Panjang,ESP23,E00067,1,Premium,753
Pasir Panjang,ESP23,E00068,1,Premium,753
Pasir Panjang,ESP23,E00069,1,Standard,630
Pasir Panjang,ESP23,E00070,1,Standard,630
Pasir Panjang,ESP23,E00071,0,Standard,630
Pasir Panjang,ESP23,E00072,0,Premium,753
Pasir Panjang,ESP23,E00073,1,Standard,630
Sembawang,ESP23,E00074,0,Standard,630
Sembawang,ESP23,E00075,1,Premium,753
Sembawang,ESP23,E00076,1,Premium,753
Sembawang,ESP23,E00077,0,Standard,630
Sembawang,ESP23,E00078,1,Premium,753
Sembawang,ESP23,E00079,0,Standard,630
Sembawang,ESP23,E00080,0,Standard,630
Sembawang,ESP23,E00081,0,Premium,753
Sembawang,ESP23,E00082,1,Premium,753
Sembawang,ESP23,E00083,1,Premium,753
Sembawang,ESP23,E00084,0,Premium,753
Sembawang,ESP23,E00085,0,Premium,753
Sembawang,ESP23,E00086,1,Premium,753
Sembawang,ESP23,E00087,1,Premium,753
Sembawang,ESP23,E00088,0,Standard,630
Sembawang,ESP23,E00089,1,Standard,630
Sembawang,ESP23,E00090,1,Standard,630
Sembawang,ESP23,E00091,0,Standard,630
Sembawang,ESP23,E00092,1,Premium,753
Sembawang,ESP23,E00093,1,Premium,753
Sembawang,ESP23,E00094,0,Standard,630
Sembawang,ESP23,E00095,1,Premium,753
Sembawang,ESP23,E00096,1,Premium,753
Sembawang,ESP23,E00097,0,Standard,630
Sembawang,ESP23,E00098,0,Premium,753
Sembawang,ESP23,E00099,1,Standard,630
Sembawang,ESP23,E00100,0,Standard,630
Sembawang,ESP23,E00101,1,Standard,630
Sembawang,ESP23,E00102,1,Standard,630
Sembawang,ESP23,E00103,0,Standard,630
Sembawang,ESP23,E00104,0,Premium,753
Sembawang,ESP23,E00105,1,Standard,630
Sembawang,ESP23,E00106,0,Premium,753
Sembawang,ESP23,E00107,1,Standard,630
Sembawang,ESP23,E00108,1,Standard,630
Sembawang,ESP23,E00109,1,Premium,753
Sembawang,ESP23,E00110,1,Standard,630
Sembawang,ESP23,E00111,0,Standard,630
Sembawang,ESP23,E00112,1,Standard,630
Sembawang,ESP23,E00113,1,Standard,630
Sembawang,ESP23,E00114,0,Standard,630
Sembawang,ESP23,E00115,0,Premium,753
Sembawang,ESP23,E00116,0,Premium,753
Sembawang,ESP23,E00117,0,Standard,630
Sembawang,ESP23,E00118,0,Premium,753
Sembawang,ESP23,E00119,0,Standard,630
Sembawang,ESP23,E00120,0,Premium,753
Sembawang,ESP23,E00121,0,Standard,630
Sembawang,ESP23,E00122,1,Premium,753
Sembawang,ESP23,E00123,0,Standard,630
Sembawang,ESP23,E00124,0,Premium,753
Sembawang,ESP23,E00125,0,Premium,753
Sembawang,ESP23,E00126,1,Premium,753
Sembawang,ESP23,E00127,0,Premium,753
Sembawang,ESP23,E00128,1,Standard,630
Sembawang,ESP23,E00129,0,Premium,753
Sembawang,ESP23,E00130,0,Premium,753
Sembawang,ESP23,E00131,1,Standard,630
Sembawang,ESP23,E00132,1,Standard,630
Sembawang,ESP23,E00133,0,Standard,630
Sembawang,ESP23,E00134,1,Standard,630
Sembawang,ESP23,E00135,0,Premium,753
Sembawang,ESP23,E00136,0,Premium,753
Sembawang,ESP23,E00137,1,Premium,753
Tuas,ESP23,E00138,0,Premium,753
Tuas,ESP23,E00139,1,Standard,630
Tuas,ESP23,E00140,1,Standard,630
Tuas,ESP23,E00141,0,Standard,630
Tuas,ESP23,E00142,0,Standard,630
Tuas,ESP23,E00143,0,Premium,753
Tuas,ESP23,E00144,0,Premium,753
Tuas,ESP23,E00145,0,Standard,630
Tuas,ESP23,E00146,0,Standard,630
Tuas,ESP23,E00147,1,Standard,630
Tuas,ESP23,E00148,0,Premium,753
Tuas,ESP23,E00149,0,Premium,753
Tuas,ESP23,E00150,0,Premium,753
Tuas,ESP23,E00151,1,Standard,630
Tuas,ESP23,E00152,0,Standard,630
Tuas,ESP23,E00153,0,Premium,753
Tuas,ESP23,E00154,0,Standard,630
Tuas,ESP23,E00155,1,Standard,630
Tuas,ESP23,E00156,0,Premium,753
Tuas,ESP23,E00157,0,Premium,753
Tuas,ESP23,E00158,1,Standard,630
Tuas,ESP23,E00159,1,Standard,630
Tuas,ESP23,E00160,0,Standard,630
Tuas,ESP23,E00161,0,Premium,753
Tuas,ESP23,E00162,0,Standard,630
Tuas,ESP23,E00163,1,Standard,630
Tuas,ESP23,E00164,0,Premium,753
Tuas,ESP23,E00165,0,Premium,753
Tuas,ESP23,E00166,1,Standard,630
Tuas,ESP23,E00167,1,Standard,630
Tuas,ESP23,E00168,0,Premium,753
Tuas,ESP23,E00169,1,Premium,753
Tuas,ESP23,E00170,1,Standard,630
Tuas,ESP23,E00171,1,Standard,630
Tuas,ESP23,E00172,1,Standard,630
Tuas,ESP23,E00173,1,Standard,630
Tuas,ESP23,E00174,0,Standard,630
Tuas,ESP23,E00175,0,Standard,630
Tuas,ESP23,E00176,1,Premium,753
Tuas,ESP23,E00177,1,Premium,753
Tuas,ESP23,E00178,1,Premium,753
Tuas,ESP23,E00179,1,Standard,630
Tuas,ESP23,E00180,1,Premium,753
Tuas,ESP23,E00181,0,Premium,753
Tuas,ESP23,E00182,0,Standard,630
Tuas,ESP23,E00183,0,Standard,630
Tuas,ESP23,E00184,0,Premium,753
Tuas,ESP23,E00185,0,Standard,630
Tuas,ESP23,E00186,0,Standard,630
Tuas,ESP23,E00187,1,Standard,630
Tuas,ESP23,E00188,1,Premium,753
Tuas,ESP23,E00189,0,Premium,753
Tuas,ESP23,E00190,1,Premium,753
Tuas,ESP23,E00191,1,Standard,630
Tuas,ESP23,E00192,0,Standard,630
Tuas,ESP23,E00193,1,Premium,753
Tuas,ESP23,E00194,1,Premium,753
Tuas,ESP23,E00195,0,Premium,753
Tuas,ESP23,E00196,0,Premium,753
Tuas,ESP23,E00197,0,Standard,630
Tuas,ESP23,E00198,1,Premium,753
Tuas,ESP23,E00199,0,Premium,753
Tuas,ESP23,E00200,1,Premium,753
Tuas,ESP23,E00201,0,Premium,753
Tuas,ESP23,E00202,0,Standard,630
Tuas,ESP23,E00203,0,Standard,630
Tuas,ESP23,E00204,0,Standard,630
Tuas,ESP23,E00205,1,Premium,753
Tuas,ESP23,E00206,1,Standard,630
Tuas,ESP23,E00207,0,Standard,630
Tuas,ESP23,E00208,1,Standard,630
Tuas,ESP23,E00209,0,Premium,753
Tuas,ESP23,E00210,1,Standard,630
Tuas,ESP23,E00211,0,Standard,630
Tuas,ESP23,E00212,0,Standard,630
Tuas,ESP23,E00213,0,Standard,630
Tuas,ESP23,E00214,1,Standard,630
Tuas,ESP23,E00215,0,Premium,753
Pasir Panjang,Masersk,M00001,1,Standard,706
Pasir Panjang,Masersk,M00002,1,Standard,706
Pasir Panjang,Masersk,M00003,0,Standard,706
Pasir Panjang,Masersk,M00004,1,Standard,706
Pasir Panjang,Masersk,M00005,1,Premium,763
Pasir Panjang,Masersk,M00006,0,Standard,706
Pasir Panjang,Masersk,M00007,0,Premium,763
Pasir Panjang,Masersk,M00008,1,Premium,763
Pasir Panjang,Masersk,M00009,1,Standard,706
Pasir Panjang,Masersk,M00010,1,Premium,763
Pasir Panjang,Masersk,M00011,1,Premium,763
Pasir Panjang,Masersk,M00012,1,Premium,763
Pasir Panjang,Masersk,M00013,0,Standard,706
Pasir Panjang,Masersk,M00014,1,Premium,763
Pasir Panjang,Masersk,M00015,1,Premium,763
Pasir Panjang,Masersk,M00016,1,Standard,706
Pasir Panjang,Masersk,M00017,0,Standard,706
Pasir Panjang,Masersk,M00018,0,Standard,706
Pasir Panjang,Masersk,M00019,0,Premium,763
Pasir Panjang,Masersk,M00020,1,Standard,706
Pasir Panjang,Masersk,M00021,1,Premium,763
Pasir Panjang,Masersk,M00022,0,Premium,763
Pasir Panjang,Masersk,M00023,1,Standard,706
Pasir Panjang,Masersk,M00024,1,Premium,763
Pasir Panjang,Masersk,M00025,0,Standard,706
Pasir Panjang,Masersk,M00026,1,Standard,706
Pasir Panjang,Masersk,M00027,1,Standard,706
Pasir Panjang,Masersk,M00028,0,Premium,763
Pasir Panjang,Masersk,M00029,1,Standard,706
Pasir Panjang,Masersk,M00030,1,Premium,763
Pasir Panjang,Masersk,M00031,0,Standard,706
Pasir Panjang,Masersk,M00032,0,Premium,763
Pasir Panjang,Masersk,M00033,1,Standard,706
Pasir Panjang,Masersk,M00034,0,Standard,706
Pasir Panjang,Masersk,M00035,1,Standard,706
Pasir Panjang,Masersk,M00036,1,Standard,706
Pasir Panjang,Masersk,M00037,0,Standard,706
Pasir Panjang,Masersk,M00038,1,Premium,763
Pasir Panjang,Masersk,M00039,1,Premium,763
Pasir Panjang,Masersk,M00040,0,Premium,763
Pasir Panjang,Masersk,M00041,1,Premium,763
Pasir Panjang,Masersk,M00042,1,Standard,706
Pasir Panjang,Masersk,M00043,1,Standard,706
Pasir Panjang,Masersk,M00044,0,Premium,763
Pasir Panjang,Masersk,M00045,0,Premium,763
Pasir Panjang,Masersk,M00046,1,Premium,763
Pasir Panjang,Masersk,M00047,1,Premium,763
Pasir Panjang,Masersk,M00048,0,Standard,706
Pasir Panjang,Masersk,M00049,1,Standard,706
Pasir Panjang,Masersk,M00050,0,Premium,763
Pasir Panjang,Masersk,M00051,1,Premium,763
Pasir Panjang,Masersk,M00052,1,Standard,706
Sembawang,Masersk,M00053,1,Premium,763
Sembawang,Masersk,M00054,1,Premium,763
Sembawang,Masersk,M00055,0,Standard,706
Sembawang,Masersk,M00056,1,Premium,763
Sembawang,Masersk,M00057,1,Standard,706
Sembawang,Masersk,M00058,1,Standard,706
Sembawang,Masersk,M00059,1,Standard,706
Sembawang,Masersk,M00060,1,Premium,763
Sembawang,Masersk,M00061,1,Premium,763
Sembawang,Masersk,M00062,0,Premium,763
Sembawang,Masersk,M00063,1,Standard,706
Sembawang,Masersk,M00064,0,Standard,706
Sembawang,Masersk,M00065,0,Premium,763
Sembawang,Masersk,M00066,1,Standard,706
Sembawang,Masersk,M00067,1,Standard,706
Sembawang,Masersk,M00068,1,Standard,706
Sembawang,Masersk,M00069,0,Standard,706
Sembawang,Masersk,M00070,0,Standard,706
Sembawang,Masersk,M00071,0,Standard,706
Sembawang,Masersk,M00072,1,Premium,763
Sembawang,Masersk,M00073,1,Standard,706
Sembawang,Masersk,M00074,0,Premium,763
Sembawang,Masersk,M00075,1,Premium,763
Sembawang,Masersk,M00076,0,Premium,763
Sembawang,Masersk,M00077,0,Premium,763
Sembawang,Masersk,M00078,0,Premium,763
Sembawang,Masersk,M00079,1,Premium,763
Sembawang,Masersk,M00080,1,Premium,763
Sembawang,Masersk,M00081,1,Standard,706
Sembawang,Masersk,M00082,0,Standard,706
Sembawang,Masersk,M00083,0,Standard,706
Sembawang,Masersk,M00084,1,Premium,763
Sembawang,Masersk,M00085,0,Standard,706
Sembawang,Masersk,M00086,0,Premium,763
Sembawang,Masersk,M00087,1,Standard,706
Sembawang,Masersk,M00088,1,Premium,763
Sembawang,Masersk,M00089,1,Standard,706
Sembawang,Masersk,M00090,0,Standard,706
Sembawang,Masersk,M00091,0,Premium,763
Sembawang,Masersk,M00092,0,Standard,706
Sembawang,Masersk,M00093,0,Premium,763
Sembawang,Masersk,M00094,0,Standard,706
Sembawang,Masersk,M00095,1,Premium,763
Sembawang,Masersk,M00096,0,Premium,763
Sembawang,Masersk,M00097,0,Standard,706
Sembawang,Masersk,M00098,0,Standard,706
Sembawang,Masersk,M00099,0,Premium,763
Sembawang,Masersk,M00100,1,Premium,763
Sembawang,Masersk,M00101,0,Standard,706
Sembawang,Masersk,M00102,1,Premium,763
Sembawang,Masersk,M00103,0,Standard,706
Sembawang,Masersk,M00104,0,Premium,763
Sembawang,Masersk,M00105,1,Premium,763
Sembawang,Masersk,M00106,1,Standard,706
Sembawang,Masersk,M00107,1,Premium,763
Sembawang,Masersk,M00108,1,Premium,763
Sembawang,Masersk,M00109,1,Premium,763
Sembawang,Masersk,M00110,0,Premium,763
Sembawang,Masersk,M00111,1,Premium,763
Sembawang,Masersk,M00112,0,Premium,763
Sembawang,Masersk,M00113,0,Premium,763
Sembawang,Masersk,M00114,0,Premium,763
Sembawang,Masersk,M00115,1,Standard,706
Sembawang,Masersk,M00116,1,Premium,763
Sembawang,Masersk,M00117,1,Premium,763
Sembawang,Masersk,M00118,0,Premium,763
Sembawang,Masersk,M00119,1,Premium,763
Sembawang,Masersk,M00120,0,Standard,706
Sembawang,Masersk,M00121,0,Standard,706
Sembawang,Masersk,M00122,0,Standard,706
Sembawang,Masersk,M00123,0,Premium,763
Sembawang,Masersk,M00124,0,Premium,763
Sembawang,Masersk,M00125,1,Premium,763
Sembawang,Masersk,M00126,1,Standard,706
Tuas,Masersk,M00127,0,Standard,706
Tuas,Masersk,M00128,1,Standard,706
Tuas,Masersk,M00129,1,Standard,706
Tuas,Masersk,M00130,0,Premium,763
Tuas,Masersk,M00131,1,Premium,763
Tuas,Masersk,M00132,1,Premium,763
Tuas,Masersk,M00133,1,Premium,763
Tuas,Masersk,M00134,1,Standard,706
Tuas,Masersk,M00135,0,Standard,706
Tuas,Masersk,M00136,1,Standard,706
Tuas,Masersk,M00137,1,Premium,763
Tuas,Masersk,M00138,0,Premium,763
Tuas,Masersk,M00139,0,Standard,706
Tuas,Masersk,M00140,1,Standard,706
Tuas,Masersk,M00141,0,Standard,706
Tuas,Masersk,M00142,0,Premium,763
Tuas,Masersk,M00143,1,Standard,706
Tuas,Masersk,M00144,0,Standard,706
Tuas,Masersk,M00145,0,Standard,706
Tuas,Masersk,M00146,1,Standard,706
Tuas,Masersk,M00147,1,Premium,763
Tuas,Masersk,M00148,0,Standard,706
Tuas,Masersk,M00149,1,Standard,706
Tuas,Masersk,M00150,0,Premium,763
Tuas,Masersk,M00151,1,Standard,706
Tuas,Masersk,M00152,0,Premium,763
Tuas,Masersk,M00153,1,Premium,763
Tuas,Masersk,M00154,1,Standard,706
Tuas,Masersk,M00155,1,Premium,763
Tuas,Masersk,M00156,0,Premium,763
Tuas,Masersk,M00157,0,Standard,706
Tuas,Masersk,M00158,1,Premium,763
Tuas,Masersk,M00159,1,Standard,706
Tuas,Masersk,M00160,1,Premium,763
Tuas,Masersk,M00161,0,Standard,706
Tuas,Masersk,M00162,0,Premium,763
Tuas,Masersk,M00163,1,Standard,706
Tuas,Masersk,M00164,0,Standard,706
Tuas,Masersk,M00165,0,Premium,763
Tuas,Masersk,M00166,0,Premium,763
Tuas,Masersk,M00167,1,Standard,706
Tuas,Masersk,M00168,1,Premium,763
Tuas,Masersk,M00169,1,Premium,763
Tuas,Masersk,M00170,0,Standard,706
Tuas,Masersk,M00171,1,Premium,763
Tuas,Masersk,M00172,0,Premium,763
Tuas,Masersk,M00173,0,Standard,706
Tuas,Masersk,M00174,0,Standard,706
Tuas,Masersk,M00175,1,Premium,763
Tuas,Masersk,M00176,1,Premium,763
Tuas,Masersk,M00177,0,Standard,706
Tuas,Masersk,M00178,1,Premium,763
Tuas,Masersk,M00179,1,Premium,763
Tuas,Masersk,M00180,1,Standard,706
Tuas,Masersk,M00181,1,Standard,706
Tuas,Masersk,M00182,0,Standard,706
Tuas,Masersk,M00183,1,Standard,706
Tuas,Masersk,M00184,1,Premium,763
Tuas,Masersk,M00185,0,Standard,706
Tuas,Masersk,M00186,0,Premium,763
Tuas,Masersk,M00187,0,Premium,763
Tuas,Masersk,M00188,1,Standard,706
Tuas,Masersk,M00189,0,Standard,706
